,dance,mode,energy,key,loudness,speech,acous,instrum,live,valence,tempo,duration_(ms),id_check,popularity,name,artist,album,id
475,0.723,0,0.49,9,-14.745,0.0296,0.111,0.0946,0.0923,0.795,129.012,252773,05oETzWbd4SI33qK2gbJfR,71,Rhiannon,Fleetwood Mac,Fleetwood Mac,05oETzWbd4SI33qK2gbJfR
476,0.575,1,0.188,9,-18.758,0.0959,0.841,4.37e-05,0.228,0.334,77.464,155453,2hjAc6x8EoSLhGxRNg8KEw,65,Crazy Love - 2013 Remaster,Van Morrison,Moondance (Expanded Edition),2hjAc6x8EoSLhGxRNg8KEw
477,0.485,0,0.872,6,-4.74,0.0457,0.0052,1.68e-06,0.31,0.533,98.096,315760,5jJ7sOjvPrFDXOZbeXsVxa,0,Panzerkampf,Sabaton,The Art Of War (Re-Armed),5jJ7sOjvPrFDXOZbeXsVxa
478,0.478,1,0.562,7,-9.325,0.0597,0.357,0.0,0.302,0.481,138.506,513000,4p9haCTdqBPHuWttwikAiw,42,American Pie,Don McLean,American Pie (Expanded Edition),4p9haCTdqBPHuWttwikAiw
479,0.598,1,0.816,1,-7.531,0.169,0.0485,0.0,0.225,0.717,109.21,203373,3yCRbRnRraIpWzWTOZDyX9,0,War,Various Artists,Motown Remixed & Unmixed,3yCRbRnRraIpWzWTOZDyX9
480,0.39,1,0.502,10,-12.277,0.178,0.336,0.000138,0.0713,0.289,97.871,247320,3Am0IbOxmvlSXro7N5iSfZ,69,Strawberry Fields Forever - Remastered 2009,The Beatles,Magical Mystery Tour (Remastered),3Am0IbOxmvlSXro7N5iSfZ
481,0.396,1,0.338,0,-10.872,0.0304,0.198,2.62e-06,0.138,0.377,133.522,182293,0pNeVovbiZHkulpGeOx1Gj,70,Something - Remastered 2009,The Beatles,Abbey Road (Remastered),0pNeVovbiZHkulpGeOx1Gj
482,0.792,0,0.288,0,-10.145,0.0506,0.489,0.224,0.11,0.103,160.013,204427,7ytIbb2rICCr5juZbqPENQ,37,Taken By A Stranger,Lena,Good News (Platin Edition),7ytIbb2rICCr5juZbqPENQ
483,0.617,0,0.533,3,-11.516,0.0651,0.0891,4.04e-06,0.0415,0.835,158.86,244707,1xPSDf8z4dH46gkvlLtvDO,0,Maniac,Various Artists,Flashdance Original Soundtrack From The Motion Picture,1xPSDf8z4dH46gkvlLtvDO
484,0.721,1,0.939,8,-11.823,0.0376,0.115,3.79e-05,0.108,0.914,113.309,213573,4uLU6hMCjMI75M1A2tKUQC,11,Never Gonna Give You Up,Rick Astley,Whenever You Need Somebody,4uLU6hMCjMI75M1A2tKUQC
485,0.54,0,0.96,0,-2.971,0.0521,0.0678,2.34e-06,0.342,0.802,122.761,222707,5VVwwfK6Cp9IydkhKfJUEq,0,You Give Love A Bad Name,Bon Jovi,Slippery When Wet (Remastered),5VVwwfK6Cp9IydkhKfJUEq
486,0.618,1,0.764,0,-6.027,0.0562,0.186,0.0,0.12,0.876,81.366,230693,5XsMz0YfEaHZE0MTb1aujs,0,Wake Me Up Before You Go-Go,Wham!,Make It Big,5XsMz0YfEaHZE0MTb1aujs
487,0.817,0,0.599,0,-9.249,0.0328,0.132,0.000311,0.0873,0.548,108.873,245640,2KH16WveTQWT6KOG9Rg6e2,76,Eye of the Tiger,Various Artists,Rocky IV,2KH16WveTQWT6KOG9Rg6e2
488,0.575,0,0.811,9,-10.981,0.0401,0.0159,4.37e-06,0.0902,0.873,149.671,348707,6AJlcxjEO2baFC24GPsJjg,2,"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,Ravishing - The Best Of,6AJlcxjEO2baFC24GPsJjg
489,0.7,0,0.781,6,-8.255,0.0507,0.0869,0.00342,0.059,0.385,108.694,289067,1UvTPXlImVd4jcucK4qJwb,58,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Various Artists,LOVE,1UvTPXlImVd4jcucK4qJwb
490,0.791,1,0.805,2,-10.202,0.0464,0.16,0.0583,0.0563,0.882,122.219,255107,4aMT5LHe8A2uIc11H8Cx2m,58,Conga,Gloria Estefan,Exitos de gloria estefan,4aMT5LHe8A2uIc11H8Cx2m
491,0.267,0,0.953,1,-4.899,0.096,0.00211,0.0,0.283,0.568,84.989,267307,0PdM2a6oIjqepoEfcJo0RO,74,Pour Some Sugar On Me - Remastered 2017,Def Leppard,Hysteria (Super Deluxe),0PdM2a6oIjqepoEfcJo0RO
492,0.729,0,0.989,9,-4.613,0.049,0.0102,4.45e-05,0.443,0.84,126.47,352906,51H2y6YrNNXcy3dfc3qSbA,71,When Doves Cry,Prince,Purple Rain,51H2y6YrNNXcy3dfc3qSbA
493,0.813,1,0.46,1,-9.78,0.0346,0.56,0.0105,0.0724,0.729,117.387,253887,2sXp9Qmvc7mRaDBjBgcGGi,0,Every Breath You Take - Remastered 2003,The Police,Synchronicity,2sXp9Qmvc7mRaDBjBgcGGi
494,0.482,1,0.601,7,-12.846,0.0486,0.00853,0.000187,0.249,0.774,125.619,252493,0XIvZ82aDF7JiSi3ZE320u,0,Rock You Like A Hurricane,Scorpions,Love At First Sting,0XIvZ82aDF7JiSi3ZE320u
495,0.529,0,0.843,6,-6.908,0.0616,0.0628,0.000827,0.0608,0.188,117.662,310333,3MrRksHupTVEQ7YbA0FsZK,76,The Final Countdown,Europe,The Final Countdown (Expanded Edition),3MrRksHupTVEQ7YbA0FsZK
496,0.441,0,0.908,11,-4.627,0.115,0.000183,0.00328,0.0612,0.632,145.439,287400,6FBmHx1FuaSnTnnnaThgbF,64,Cum on Feel the Noize,Quiet Riot,Quiet Riot - Greatest Hits,6FBmHx1FuaSnTnnnaThgbF
497,0.66,1,0.816,2,-6.61,0.0299,0.168,0.0181,0.0608,0.678,111.346,263040,4aWn4NHlELpOehxsBaQeoe,3,Don't You (Forget About Me),Simple Minds,Once Upon A Time (Deluxe),4aWn4NHlELpOehxsBaQeoe
498,0.527,1,0.865,7,-6.226,0.0668,0.0671,4.46e-05,0.165,0.847,136.254,174467,61WoUNL65js7yo74poi6TC,35,Saturday Night,Bay City Rollers,Bay City Rollers: The Definitive Collection,61WoUNL65js7yo74poi6TC
499,0.564,1,0.827,7,-7.089,0.0283,0.0904,3.73e-06,0.127,0.912,89.847,139347,5hhF25sWnZvXhimOHLjTRE,62,I Feel Fine - Remastered 2015,The Beatles,1 (Remastered),5hhF25sWnZvXhimOHLjTRE
500,0.446,1,0.142,9,-13.498,0.0335,0.96,0.00114,0.101,0.156,135.724,176093,6nRvgo4ySezQKD1D7NIqAu,61,I Will Always Love You,Dolly Parton,Jolene,6nRvgo4ySezQKD1D7NIqAu
501,0.75,1,0.784,6,-11.269,0.0611,0.0527,0.0,0.0421,0.738,126.459,283827,1itIRmnzXMhqzDeQofMoxT,0,Y.M.C.A. - Single Version,Various Artists,The Casablanca Records Story,1itIRmnzXMhqzDeQofMoxT
502,0.725,0,0.959,9,-6.994,0.0472,0.0725,0.0,0.14,0.755,127.323,339947,4mjFMScEvHeM72791mXRCW,62,In the Navy - Original Version 1979,Village People,Go West In the Navy,4mjFMScEvHeM72791mXRCW
503,0.648,0,0.601,9,-12.205,0.0428,0.0946,0.000711,0.099,0.945,128.233,276013,2R5TO7EcVJsut0l9lplDZ9,33,Susie Q,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (Ecopac),2R5TO7EcVJsut0l9lplDZ9
504,0.303,0,0.108,9,-27.433,0.0473,0.994,0.877,0.0805,0.18,126.931,188467,6MQAB3vorg90FA3tQpbYXK,61,"Für Elise, WoO 59",Ludwig van Beethoven,Beethoven Greatest Hits,6MQAB3vorg90FA3tQpbYXK
505,0.511,0,0.947,7,-4.917,0.0457,0.00443,0.0,0.117,0.494,104.046,238518,2LuK1b4aoLoBiZrL0jnfYv,0,The Last Stand,Sabaton,The Last Stand,2LuK1b4aoLoBiZrL0jnfYv
506,0.594,0,0.77,7,-8.267,0.032,0.276,0.0176,0.0575,0.827,107.484,277227,52bzQkgk8TznulGvKOPQTK,61,Man On The Silver Mountain,Rainbow,Ritchie Blackmore's Rainbow,52bzQkgk8TznulGvKOPQTK
507,0.463,1,0.471,8,-12.843,0.045,0.277,0.0466,0.0988,0.766,154.463,457600,1HbOlAS9kF9d5j7WNQbin9,50,Born Under a Bad Sign,Jimi Hendrix,Blues,1HbOlAS9kF9d5j7WNQbin9
508,0.419,1,0.0167,2,-23.962,0.0355,0.91,0.000626,0.113,0.173,109.482,199413,5VwrpYZ4Fx3a7NvcvzgtYG,28,Song of Wyoming,John Denver,Windsong,5VwrpYZ4Fx3a7NvcvzgtYG
509,0.599,1,0.622,6,-7.019,0.128,0.222,0.0,0.536,0.907,117.574,223680,1DfWmv1eJU1a9tuGpqKGFP,47,Gypsy Eyes,Jimi Hendrix,Electric Ladyland,1DfWmv1eJU1a9tuGpqKGFP
510,0.277,0,0.479,5,-8.483,0.0495,0.585,0.0224,0.16,0.483,53.905,230360,3XxBSvDZKH5YvZZjTpn6eR,55,Red House,Jimi Hendrix,Are You Experienced,3XxBSvDZKH5YvZZjTpn6eR
511,0.518,0,0.9,5,-5.249,0.0481,0.0208,0.00454,0.136,0.707,112.217,205987,494aMHJOpaMyyxaqcmbjLi,42,Freedom,Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,494aMHJOpaMyyxaqcmbjLi
512,0.39,1,0.691,8,-9.278,0.0619,0.186,0.0161,0.173,0.348,133.958,262880,2I14CRglrAX93shSeSjYzM,44,Angel,Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,2I14CRglrAX93shSeSjYzM
513,0.301,1,0.853,2,-2.264,0.0369,0.208,0.00328,0.354,0.112,150.423,450507,2UjLzxf4oYjHOVOBoVojlL,0,Champagne Supernova,Oasis,(What's the Story) Morning Glory?,2UjLzxf4oYjHOVOBoVojlL
514,0.39,1,0.648,8,-9.789,0.137,0.00428,0.0531,0.689,0.493,103.496,334520,0J3CHAStO3pNGTnYnxKZod,52,If 6 Was 9,Jimi Hendrix,Axis: Bold As Love,0J3CHAStO3pNGTnYnxKZod
515,0.38,1,0.829,5,-6.105,0.0405,8.4e-05,0.00208,0.342,0.0534,125.887,179547,00oZhqZIQfL9P5CjOP6JsO,56,Tomorrow Never Knows - Remastered 2009,The Beatles,Revolver (Remastered),00oZhqZIQfL9P5CjOP6JsO
516,0.0731,0,0.332,4,-7.499,0.0326,0.948,0.835,0.099,0.103,180.905,146051,50oQKoR2p1x8Am8d2fetkW,35,"The Green Leaves of Summer - From ""Inglourious Basterds""",Various Artists,Music from Quentin Taratino Movies (Original Recordings),50oQKoR2p1x8Am8d2fetkW
517,0.542,1,0.491,2,-4.339,0.0294,0.486,0.934,0.0841,0.537,95.529,188253,012p314AtSuiWcVfhF9mPj,28,"Mystic and Severe (From ""Inglourious Basterds"")",Ennio Morricone,Ennio Morricone & Quentin Tarantino: Soundtracks Collection (The Complete Edition),012p314AtSuiWcVfhF9mPj
518,0.347,0,0.459,4,-11.238,0.0366,0.919,0.942,0.101,0.112,85.154,73707,3cNnmuGBLh8gKqMZLUEKXJ,35,"The Verdict (Dopo la condanna) (From ""Inglourious Basterds"")",Ennio Morricone,Quentin Tarantino The Essential (The Complete Edition),3cNnmuGBLh8gKqMZLUEKXJ
519,0.249,0,0.334,4,-8.949,0.0298,0.676,0.0815,0.0878,0.0729,101.869,170880,52vtGUZRSGls4Lff6AGVrX,23,"The Surrender (La Resa) (From ""La Resa dei Conti - The Big Gundown"")",Ennio Morricone,Once Upon a Time in the West - Ennio Morricone Music Collection (The Complete Edition),52vtGUZRSGls4Lff6AGVrX
520,0.73,1,0.526,10,-10.909,0.0429,0.0256,0.000887,0.0913,0.385,118.208,252493,3CD75JGmSMKA3RW5RtOwAz,22,"Cat People (Putting Out Fire) - Single Version, 2002 Remaster",David Bowie,Platinum Collection,3CD75JGmSMKA3RW5RtOwAz
521,0.494,0,0.517,9,-12.172,0.11,0.491,0.0255,0.47,0.2,108.939,209987,3Z4poAx8XqlR2xm7eFwQ37,34,Flash's Theme - Remastered 2011,Queen,Flash Gordon (Remastered),3Z4poAx8XqlR2xm7eFwQ37
522,0.304,1,0.543,8,-10.619,0.034,0.751,0.0145,0.0764,0.387,101.545,156147,379hxtlY5LvbPQa5LL6dPo,38,The Inner Light - Remastered 2009,The Beatles,Past Masters (Vols. 1 & 2 / Remastered),379hxtlY5LvbPQa5LL6dPo
523,0.523,0,0.51,7,-9.827,0.0514,0.0123,8.38e-05,0.108,0.789,120.432,137840,2jAojvUaPoHPFSPpF0UNRo,54,Glass Onion - Remastered 2009,The Beatles,The Beatles (Remastered),2jAojvUaPoHPFSPpF0UNRo
524,0.166,1,0.831,9,-8.469,0.0894,0.000606,0.846,0.811,0.281,167.518,269787,0Bs0hUYxz7REyIHH7tRhL2,62,Helter Skelter - Remastered 2009,The Beatles,The Beatles (Remastered),0Bs0hUYxz7REyIHH7tRhL2
525,0.512,1,0.0953,2,-16.082,0.0304,0.828,0.000268,0.117,0.193,134.706,176667,5FnpXVgDOk2sLT58qM22Of,54,Julia - Remastered 2009,The Beatles,The Beatles (Remastered),5FnpXVgDOk2sLT58qM22Of
526,0.298,0,0.753,0,-7.417,0.0894,0.248,0.148,0.112,0.32,164.991,899933,0auKlivXpm76wR63mMJ3pR,50,Voodoo Chile,Jimi Hendrix,Electric Ladyland,0auKlivXpm76wR63mMJ3pR
527,0.46,1,0.807,8,-7.237,0.086,0.731,4.52e-05,0.0799,0.456,143.001,172200,1jhH7vvy8hoHuc0mGuZsLX,42,Little Miss Strange,Jimi Hendrix,Electric Ladyland,1jhH7vvy8hoHuc0mGuZsLX
528,0.657,0,0.55,11,-5.511,0.0664,0.517,0.0,0.0746,0.515,116.931,170769,1EbUjcgx4c1tLHdqC6eHJd,0,שני משוגעים,Omer Adam,שני משוגעים,1EbUjcgx4c1tLHdqC6eHJd
529,0.517,0,0.529,9,-11.851,0.0323,0.115,0.00396,0.174,0.362,76.644,182080,5XmetMMUFNXClbiYnGdVmP,49,Cry Baby Cry - Remastered 2009,The Beatles,The Beatles (Remastered),5XmetMMUFNXClbiYnGdVmP
530,0.577,1,0.624,0,-9.626,0.0285,0.33,0.00622,0.117,0.671,75.478,195267,2tBv9tAdqEbLNDi5smSjbg,51,Sexy Sadie - Remastered 2009,The Beatles,The Beatles (Remastered),2tBv9tAdqEbLNDi5smSjbg
531,0.818,1,0.728,10,-8.331,0.0314,0.232,0.0642,0.251,0.975,113.059,188960,1gFNm7cXfG1vSMcxPpSxec,70,"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles,The Beatles (Remastered),1gFNm7cXfG1vSMcxPpSxec
532,0.317,1,0.887,9,-7.292,0.0375,0.000582,0.00258,0.0891,0.871,169.613,220561,4PRGxHpCpF2yoOHYKQIEwD,70,Rock and Roll - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),4PRGxHpCpF2yoOHYKQIEwD
533,0.47,1,0.806,2,-7.165,0.0369,0.379,0.0624,0.86,0.787,132.359,278907,5NnZ4JJxWiqqhYNu3rwmFj,55,Misty Mountain Hop - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),5NnZ4JJxWiqqhYNu3rwmFj
534,0.507,1,0.837,2,-10.465,0.0624,0.174,0.814,0.0906,0.318,107.013,285227,4Sc5qEOSFI5rfS9IDyu0GO,49,Four Sticks - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),4Sc5qEOSFI5rfS9IDyu0GO
535,0.503,1,0.265,2,-15.913,0.0333,0.943,0.045,0.0867,0.522,78.044,212161,70gbuMqwNBE2Y5rkQJE9By,68,Going to California - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),70gbuMqwNBE2Y5rkQJE9By
536,0.271,1,0.766,5,-8.03,0.0329,0.00217,0.52,0.0707,0.803,142.914,428851,05f8Hg3RSfiPSCBQOtxl3i,64,When the Levee Breaks - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),05f8Hg3RSfiPSCBQOtxl3i
537,0.448,1,0.882,0,-6.861,0.0701,0.603,0.013,0.278,0.475,146.371,283400,4iOFENARPfS3d6P9rCQ2to,34,Secret Messages,Electric Light Orchestra,Secret Messages,4iOFENARPfS3d6P9rCQ2to
538,0.293,1,0.519,5,-7.144,0.0292,0.0974,1.46e-06,0.0895,0.367,110.667,226277,5ENvN4Z48I2Ft1FpyoQTJS,0,Streets of Edinburgh,The Proclaimers,Streets of Edinburgh,5ENvN4Z48I2Ft1FpyoQTJS
539,0.675,1,0.874,0,-3.294,0.026,0.0357,0.0,0.148,0.789,93.284,250548,1EiSEUs3FuRZDBU23MuUN3,37,Come On To Me,Paul McCartney,Come On To Me,1EiSEUs3FuRZDBU23MuUN3
540,0.641,1,0.922,2,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,3bidbhpOYeV4knp8AIu8Xn,83,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,The Heist,3bidbhpOYeV4knp8AIu8Xn
541,0.686,1,0.127,7,-14.361,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,138387,5jgFfDIR6FR0gvlA56Nakr,73,Blackbird - Remastered 2009,The Beatles,The Beatles (Remastered),5jgFfDIR6FR0gvlA56Nakr
542,0.48,1,0.969,9,-7.464,0.0854,0.069,0.00022,0.0608,0.494,142.489,163453,0j3p1p06deJ7f9xmJ9yG22,67,Back In The U.S.S.R. - Remastered 2009,The Beatles,The Beatles (Remastered),0j3p1p06deJ7f9xmJ9yG22
543,0.529,0,0.898,0,-4.621,0.054,0.28,0.00168,0.324,0.358,143.901,235373,7s5wOdyYLnPLa4nsauVm09,29,We Are One,Eli Schwebel,Hearts Mind,7s5wOdyYLnPLa4nsauVm09
544,0.565,0,0.741,7,-7.76,0.0451,0.264,0.0,0.141,0.218,105.034,254247,6b7d0li44PA8MT7DFcLwYz,32,Adama V'shamayim,Matt Dubb,Adama V'shamayim,6b7d0li44PA8MT7DFcLwYz
545,0.388,1,0.529,7,-10.533,0.0436,0.16,0.0681,0.108,0.332,150.721,235773,5NQYyej46WQkgCbnzGD21W,61,Dear Prudence - Remastered 2009,The Beatles,The Beatles (Remastered),5NQYyej46WQkgCbnzGD21W
546,0.357,1,0.682,1,-9.207,0.106,0.159,0.00609,0.357,0.229,138.258,819627,5uDpwSGjljhIgDB1ZYdp9c,44,1983...(A Merman I Should Turn to Be),Jimi Hendrix,Electric Ladyland,5uDpwSGjljhIgDB1ZYdp9c
547,0.42,0,0.662,4,-9.828,0.0341,0.656,0.000423,0.096,0.378,147.949,351678,6KCjY5kHvgWaWcAV6BBzxO,52,The Battle of Evermore - Remaster,Led Zeppelin,Led Zeppelin IV (Remaster),6KCjY5kHvgWaWcAV6BBzxO
548,0.525,1,0.244,2,-13.343,0.0445,0.973,0.123,0.112,0.755,97.654,184613,2m5lv3dVV04aR5BmjQnno7,0,Hobo Blues (Long Long Way from Home),John Lee Hooker,The Legendary Modern Recordings,2m5lv3dVV04aR5BmjQnno7
549,0.418,1,0.452,1,-13.099,0.0356,0.638,0.00026,0.0959,0.168,175.088,218733,54b8qPFqYqIndfdxiLApea,73,Alone,Heart,Bad Animals,54b8qPFqYqIndfdxiLApea
550,0.392,1,0.662,2,-6.803,0.0349,0.00549,0.111,0.0987,0.0599,140.067,323840,3XMM999YbaUn3yPwZ1lczX,14,Heaven,Heart,Beautiful Broken,3XMM999YbaUn3yPwZ1lczX
551,0.438,1,0.64,7,-6.691,0.0268,0.000139,0.0182,0.491,0.233,87.502,232480,5ZbfEr0ZmskmW1lOWBFaxE,25,I Jump,Heart,Beautiful Broken,5ZbfEr0ZmskmW1lOWBFaxE
552,0.43,0,0.498,10,-9.203,0.0618,0.23,0.000164,0.113,0.655,73.104,130040,3Yh64aiu2ANBwDFztyPDkT,48,Have You Ever Been (To Electric Ladyland),Jimi Hendrix,Electric Ladyland,3Yh64aiu2ANBwDFztyPDkT
553,0.647,0,0.487,11,-10.119,0.0689,0.00101,0.285,0.138,0.222,123.444,141613,5aHHf6jrqDRb1fcBmue2kn,56,The End - Remastered 2009,The Beatles,Abbey Road (Remastered),5aHHf6jrqDRb1fcBmue2kn
554,0.939,1,0.68,0,-7.29,0.219,0.0881,0.0,0.0554,0.81,96.916,248573,0ipLnUeK5PODrTKyT3wVGT,0,Shoop,Salt-N-Pepa,Very Necessary,0ipLnUeK5PODrTKyT3wVGT
555,0.554,1,0.783,6,-5.852,0.0457,0.416,1.54e-06,0.631,0.813,105.39,162467,5UWYJWoVXRpaLuzzXmHqg8,0,9 To 5,Dolly Parton,Dolly Parton Slipcase,5UWYJWoVXRpaLuzzXmHqg8
556,0.334,1,0.736,3,-10.831,0.0654,0.259,0.002,0.349,0.802,145.893,223320,48qby6VFvlI0aBXliBXcVr,28,In From the Storm,Jimi Hendrix,The Cry of Love,48qby6VFvlI0aBXliBXcVr
557,0.73,0,0.285,11,-15.103,0.0319,0.877,0.0126,0.137,0.284,107.14,330747,3h9T2wLTy4FEKulLDkUjlX,56,Storms - 2015 Remaster,Fleetwood Mac,Tusk (2015 Remaster),3h9T2wLTy4FEKulLDkUjlX
558,0.501,1,0.943,4,-4.796,0.0468,0.0761,0.0,0.151,0.805,150.357,243264,2t9qMdL9Pa6Sp6u2u413gi,33,American Storm,Bob Seger,Like A Rock,2t9qMdL9Pa6Sp6u2u413gi
559,0.429,1,0.551,7,-6.638,0.0372,0.218,2.18e-06,0.312,0.365,111.513,352413,5dfg1Piej2rQ0jwmwxo3kF,43,Louisiana Rain,Tom Petty and the Heartbreakers,Damn The Torpedoes (Deluxe Edition),5dfg1Piej2rQ0jwmwxo3kF
560,0.486,1,0.241,4,-17.337,0.0366,0.413,3.51e-05,0.0928,0.614,106.574,301133,3y4Uza6K58JXQ7RYya8ZI5,61,Shelter from the Storm,Bob Dylan,Blood On The Tracks,3y4Uza6K58JXQ7RYya8ZI5
561,0.369,1,0.758,5,-5.871,0.0364,0.623,1.78e-05,0.531,0.663,140.71,288720,56lhDZNQ5J47aog6mGKeGk,64,Thunder Road,Bruce Springsteen,Born To Run,56lhDZNQ5J47aog6mGKeGk
562,0.336,1,0.318,0,-11.412,0.0263,0.317,0.0716,0.111,0.24,79.66,459094,3JLrri1xSCui3bzITDJbkk,60,The Rain Song - Remaster,Led Zeppelin,Houses of the Holy (Remaster),3JLrri1xSCui3bzITDJbkk
563,0.427,1,0.644,8,-13.17,0.0649,0.432,0.0,0.102,0.614,114.399,240133,02ziDu6iLGgGfgj4vPxWsB,17,Stormy Monday,The Jackson 5,The Early Rehearsal Sessions,02ziDu6iLGgGfgj4vPxWsB
564,0.556,1,0.592,5,-7.378,0.0337,0.458,0.0,0.0637,0.587,94.887,274067,7BkAlVpGwXXl3sYNn5OoJ7,47,Rainy Day Women #12 & 35,Bob Dylan,Blonde On Blonde,7BkAlVpGwXXl3sYNn5OoJ7
565,0.234,1,0.693,0,-8.277,0.0408,2.82e-05,0.899,0.442,0.541,106.933,181320,48TNLcToLs8DWkdj5vYdiW,50,Rain - Remastered 2009,The Beatles,Past Masters (Vols. 1 & 2 / Remastered),48TNLcToLs8DWkdj5vYdiW
566,0.567,1,0.198,4,-18.681,0.0327,0.919,0.000871,0.135,0.321,92.467,412200,7ny2ATvjtKszCpLpfsGnVQ,54,A Hard Rain's A-Gonna Fall,Bob Dylan,The Freewheelin' Bob Dylan,7ny2ATvjtKszCpLpfsGnVQ
567,0.294,1,0.641,11,-9.316,0.0291,0.0163,0.22,0.112,0.226,79.759,536067,3YRCqOhFifThpSRFJ1VWFM,79,November Rain,Guns N' Roses,Use Your Illusion I,3YRCqOhFifThpSRFJ1VWFM
568,0.553,1,0.512,5,-11.864,0.0946,0.434,0.0331,0.416,0.331,130.265,239867,5C7IK8ndC9X0VhwvpVL2Mh,41,Standin' in the Rain,Electric Light Orchestra,Out of the Blue,5C7IK8ndC9X0VhwvpVL2Mh
569,0.555,0,0.632,7,-7.064,0.0265,0.561,0.0142,0.0767,0.685,90.401,209293,5MS6Sc9dN9TFDGBIytiAy1,31,Love and Rain,Electric Light Orchestra,Jeff Lynne's ELO - Alone in the Universe,5MS6Sc9dN9TFDGBIytiAy1
570,0.293,1,0.741,1,-9.12,0.0755,0.158,0.0154,0.124,0.189,116.999,348133,2joSFBp4qDBL480mJ4nEG6,0,Love Reign O'er Me - 1996 Remastered Version,The Who,Quadrophenia (Remixed And Remastered Version),2joSFBp4qDBL480mJ4nEG6
571,0.501,1,0.752,0,-5.405,0.0342,0.00632,0.0,0.161,0.729,176.169,203719,6oHXWqyJ9zZngrWch8XjvZ,31,Fuh You,Paul McCartney,Fuh You,6oHXWqyJ9zZngrWch8XjvZ
572,0.568,0,0.898,8,-8.833,0.0862,0.0285,0.0787,0.484,0.833,110.824,301520,0hnlRgTh80b1emNnM0jmwt,49,Mannish Boy,Jimi Hendrix,Both Sides of the Sky,0hnlRgTh80b1emNnM0jmwt
573,0.554,0,0.842,11,-5.75,0.0305,0.0927,0.0,0.12,0.962,102.684,193467,6PvMYScgXixWYc4I0IXJoS,45,I've Got to Find the Right Woman - Single Version,Redbone,Beaded Dreams Through Turquoise Eyes (Expanded Edition),6PvMYScgXixWYc4I0IXJoS
574,0.463,1,0.671,3,-6.438,0.0683,0.0626,0.0,0.0947,0.633,84.28,180813,5CTAcf8aS0a0sIsDwQRF9C,63,Bicycle Race - Remastered 2011,Queen,Jazz (2011 Remaster),5CTAcf8aS0a0sIsDwQRF9C
575,0.696,1,0.942,9,-5.232,0.13,0.214,0.0049,0.0518,0.481,117.541,176307,4SZhxF0sIS8nDvwhT0Tt2V,57,Second Hand News - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),4SZhxF0sIS8nDvwhT0Tt2V
576,0.654,1,0.336,6,-12.825,0.0379,0.858,0.385,0.0786,0.947,176.083,134400,19Shlms2uTnOjIUg50TXzd,68,Never Going Back Again - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),19Shlms2uTnOjIUg50TXzd
577,0.672,1,0.72,9,-7.781,0.035,0.0373,9.38e-06,0.0371,0.828,118.731,193347,3CPeWqqaHR0hmyfsWhMJQs,64,Don't Stop - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),3CPeWqqaHR0hmyfsWhMJQs
578,0.586,1,0.941,5,-5.139,0.0375,0.0167,0.000776,0.068,0.831,135.448,223613,4xh7W7tlNMIczFhupCPniY,72,Go Your Own Way - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),4xh7W7tlNMIczFhupCPniY
579,0.389,1,0.0851,5,-15.477,0.0346,0.982,0.00187,0.101,0.364,184.298,200813,6DrXZwTuhl5Ow4mcmSWjME,56,Songbird - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),6DrXZwTuhl5Ow4mcmSWjME
580,0.62,0,0.604,7,-9.088,0.0261,0.0133,0.102,0.104,0.857,126.576,216627,55mQhobuwtY7lfLAXylg1k,61,You Make Loving Fun - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),55mQhobuwtY7lfLAXylg1k
581,0.722,1,0.697,11,-7.03,0.0278,0.0633,0.0103,0.0675,0.942,139.348,196853,3B1lK5gNppO22gQLozrxeA,55,I Don't Want to Know - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),3B1lK5gNppO22gQLozrxeA
582,0.585,0,0.338,2,-10.887,0.0335,0.505,0.000125,0.136,0.477,138.131,236240,2wmr2A1ixEx9qViaOMkkkW,49,Oh Daddy - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),2wmr2A1ixEx9qViaOMkkkW
